"filename", "language", "C++", "JSON", "Python", "comment", "blank", "total"
"c:\Users\pc\Desktop\C++\DCompress\include\Dcompress\DCMap.hpp", "C++", 18, 0, 0, 2, 8, 28
"c:\Users\pc\Desktop\C++\DCompress\include\Dcompress\DCMatrix.hpp", "C++", 2, 0, 0, 0, 3, 5
"c:\Users\pc\Desktop\C++\DCompress\include\UnaryTests.hpp", "C++", 2, 0, 0, 0, 1, 3
"c:\Users\pc\Desktop\C++\DCompress\src\DCRegression\DCRegression.ipynb", "JSON", 0, 204, 0, 0, 1, 205
"c:\Users\pc\Desktop\C++\DCompress\src\DCompress\DCMap.cpp", "C++", 71, 0, 0, 13, 20, 104
"c:\Users\pc\Desktop\C++\DCompress\src\DCompress\DCMatrix.cpp", "C++", -6, 0, 0, 0, -3, -9
"c:\Users\pc\Desktop\C++\DCompress\src\HistPlot\hist.ipynb", "JSON", 0, 425, 0, 0, 1, 426
"c:\Users\pc\Desktop\C++\DCompress\src\UnaryTests.cpp", "C++", 16, 0, 0, 1, 3, 20
"c:\Users\pc\Desktop\C++\DCompress\src\main.cpp", "C++", 5, 0, 0, 10, 6, 21
"c:\Users\pc\Desktop\C++\DCompress\src\scrapper.py", "Python", 0, 0, 1, 0, -1, 0
"Total", "-", 108, 629, 1, 26, 39, 803
