"filename", "language", "Makefile", "Markdown", "C++", "JSON", "Python", "comment", "blank", "total"
"c:\Users\pc\Desktop\C++\DCompress\Makefile", "Makefile", 27, 0, 0, 0, 0, 4, 14, 45
"c:\Users\pc\Desktop\C++\DCompress\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\pc\Desktop\C++\DCompress\include\Dcompress\DCBuffer.hpp", "C++", 0, 0, 30, 0, 0, 1, 13, 44
"c:\Users\pc\Desktop\C++\DCompress\include\Dcompress\DCMap.hpp", "C++", 0, 0, 50, 0, 0, 18, 18, 86
"c:\Users\pc\Desktop\C++\DCompress\include\Dcompress\DCMatrix.hpp", "C++", 0, 0, 31, 0, 0, 0, 11, 42
"c:\Users\pc\Desktop\C++\DCompress\include\Dcompress\DCQueue.hpp", "C++", 0, 0, 102, 0, 0, 52, 30, 184
"c:\Users\pc\Desktop\C++\DCompress\include\UnaryTests.hpp", "C++", 0, 0, 14, 0, 0, 0, 6, 20
"c:\Users\pc\Desktop\C++\DCompress\src\DCRegression\DCRegression.ipynb", "JSON", 0, 0, 0, 204, 0, 0, 1, 205
"c:\Users\pc\Desktop\C++\DCompress\src\DCompress\DCBuffer.cpp", "C++", 0, 0, 147, 0, 0, 61, 27, 235
"c:\Users\pc\Desktop\C++\DCompress\src\DCompress\DCMap.cpp", "C++", 0, 0, 209, 0, 0, 82, 38, 329
"c:\Users\pc\Desktop\C++\DCompress\src\DCompress\DCMatrix.cpp", "C++", 0, 0, 104, 0, 0, 51, 24, 179
"c:\Users\pc\Desktop\C++\DCompress\src\DCompress\DCQueue.cpp", "C++", 0, 0, 603, 0, 0, 176, 142, 921
"c:\Users\pc\Desktop\C++\DCompress\src\HistPlot\hist.ipynb", "JSON", 0, 0, 0, 425, 0, 0, 1, 426
"c:\Users\pc\Desktop\C++\DCompress\src\UnaryTests.cpp", "C++", 0, 0, 140, 0, 0, 30, 59, 229
"c:\Users\pc\Desktop\C++\DCompress\src\main.cpp", "C++", 0, 0, 26, 0, 0, 12, 12, 50
"c:\Users\pc\Desktop\C++\DCompress\src\plotter.ipynb", "JSON", 0, 0, 0, 361, 0, 0, 1, 362
"c:\Users\pc\Desktop\C++\DCompress\src\scrapper.py", "Python", 0, 0, 0, 0, 31, 7, 10, 48
"Total", "-", 27, 3, 1456, 990, 31, 494, 409, 3410
